price,price_per_sqft,bhk,total_sqft,floor_num,location
1600000.0,3765,1,425,2,sector 49 gurugram
2400000.0,4800,1,500,3,sector 49 gurugram
4000000.0,5487,1,729,1,sector 49 gurugram
1600000.0,3200,1,500,2,sector 49 gurugram
2000000.0,5000,1,400,2,sector 49 gurugram
2600000.0,5451,1,477,3,sector 49 gurugram
4320000.0,5000,2,604,0,maninagar gurugram
4700000.0,4352,2,1080,1,maninagar gurugram
5100000.0,5667,2,900,1,maninagar gurugram
3000000.0,3750,2,800,3,maninagar gurugram
5000000.0,3704,2,1350,1,maninagar gurugram
4600000.0,4259,2,1080,1,maninagar gurugram
5200000.0,5400,2,674,0,maninagar gurugram
5500000.0,3667,2,1500,2,maninagar gurugram
6600000.0,6490,2,1017,3,maninagar gurugram
2000000.0,2551,2,784,2,naroda gurugram
4200000.0,4667,2,900,4,naroda gurugram
3700000.0,2960,2,1250,2,naroda gurugram
2000000.0,2273,2,880,2,naroda gurugram
3500000.0,5000,2,700,2,naroda gurugram
4400000.0,3761,2,1170,2,naroda gurugram
425000.0,9463,5,2694,12,"sankalp grace 3, shilaj gurugram"
421000.0,7478,5,3400,12,"sankalp grace 3, shilaj gurugram"
450000.0,10000,5,2500,5,"sankalp grace 3, shilaj gurugram"
425000.0,9548,5,3200,12,"sankalp grace 3, shilaj gurugram"
429000.0,7001,5,4729,12,"sankalp grace 3, shilaj gurugram"
459000.0,7500,5,3658,1,"sankalp grace 3, shilaj gurugram"
520000.0,8500,5,3370,13,"sankalp grace 3, shilaj gurugram"
580000.0,9465,5,6128,12,"sankalp grace 3, shilaj gurugram"
598000.0,7577,5,4400,12,"sankalp grace 3, shilaj gurugram"
210000.0,7202,4,1670,6,"akshar ocean pearl, ambli gurugram"
200000.0,6859,4,2916,9,"akshar ocean pearl, ambli gurugram"
234000.0,7091,4,2100,8,"akshar ocean pearl, ambli gurugram"
198000.0,6800,4,1604,3,"akshar ocean pearl, ambli gurugram"
340000.0,8293,4,2520,1,"akshar ocean pearl, ambli gurugram"
296000.0,8747,4,2520,1,"akshar ocean pearl, ambli gurugram"
287000.0,8500,4,3384,11,"akshar ocean pearl, ambli gurugram"
263000.0,7800,4,1861,9,"akshar ocean pearl, ambli gurugram"
4500000.0,4505,2,999,1,"aaryan gloria, south bopal, bopal gurugram"
4500000.0,4505,2,999,3,"aaryan gloria, south bopal, bopal gurugram"
5600000.0,4444,2,600,2,"aaryan gloria, south bopal, bopal gurugram"
5200000.0,5205,2,999,4,"aaryan gloria, south bopal, bopal gurugram"
9850000.0,5010,3,1070,0,"adani archway, jagatpur gurugram"
111000.0,5754,3,1061,8,"adani archway, jagatpur gurugram"
135000.0,5374,4,1382,5,"adani archway, jagatpur gurugram"
117000.0,6065,3,1063,2,"adani archway, jagatpur gurugram"
150000.0,5971,4,2512,13,"adani archway, jagatpur gurugram"
120000.0,6198,3,1936,6,"adani archway, jagatpur gurugram"
145000.0,5772,4,1381,9,"adani archway, jagatpur gurugram"
112000.0,5785,3,1070,10,"adani archway, jagatpur gurugram"
113000.0,5837,3,1936,5,"adani archway, jagatpur gurugram"
106000.0,5475,3,1066,11,"adani archway, jagatpur gurugram"
